Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
12.631667	17.487736	-0.168266
12.633333	17.487562	-0.168264
12.635000	17.488171	-0.168265
12.636667	17.487854	-0.168265
12.638333	17.486525	-0.168262
12.640000	17.486433	-0.168260
12.641667	17.486513	-0.168258
12.643333	17.485567	-0.168254
12.645000	17.486582	-0.168252
12.646666	17.485081	-0.168250
12.648334	17.485344	-0.168249
12.650000	17.485369	-0.168250
12.651666	17.484364	-0.168251
12.653334	17.484289	-0.168251
12.655000	17.484375	-0.168252
12.656667	17.482998	-0.168250
12.658333	17.483158	-0.168250
12.660000	17.482811	-0.168251
12.661667	17.482662	-0.168250
12.663333	17.482069	-0.168251
12.665000	17.482052	-0.168251
12.666667	17.481363	-0.168250
12.668333	17.481655	-0.168249
12.670000	17.481169	-0.168249
12.671666	17.480461	-0.168246
12.673334	17.480371	-0.168246
12.675000	17.480213	-0.168243
12.676666	17.479761	-0.168239
12.678334	17.479349	-0.168235
12.680000	17.478466	-0.168230
12.681667	17.478128	-0.168225
12.683333	17.477045	-0.168219
12.685000	17.476933	-0.168213
12.686667	17.477407	-0.168208
12.688333	17.477461	-0.168202
12.690000	17.476816	-0.168198
12.691667	17.477097	-0.168195
12.693333	17.475319	-0.168193
12.695000	17.475904	-0.168191
12.696666	17.475872	-0.168190
12.698334	17.474819	-0.168190
12.700000	17.474026	-0.168190
12.701666	17.474674	-0.168190
12.703334	17.474201	-0.168189
12.705000	17.473898	-0.168189
12.706667	17.473221	-0.168188
12.708333	17.473368	-0.168186
12.710000	17.473490	-0.168183
12.711667	17.472338	-0.168181
12.713333	17.471912	-0.168178
12.715000	17.471821	-0.168177
12.716667	17.472075	-0.168176
12.718333	17.472139	-0.168174
12.720000	17.470867	-0.168174
12.721666	17.470661	-0.168175
12.723334	17.469934	-0.168177
12.725000	17.470030	-0.168178
12.726666	17.469713	-0.168178
12.728334	17.469923	-0.168176
12.730000	17.469299	-0.168173
12.731667	17.467974	-0.168169
12.733333	17.468079	-0.168167
12.735000	17.467155	-0.168164
12.736667	17.467264	-0.168160
12.738333	17.466547	-0.168157
12.740000	17.466637	-0.168154
12.741667	17.466747	-0.168153
12.743333	17.464750	-0.168151
12.745000	17.466305	-0.168150
12.746666	17.465689	-0.168150
12.748334	17.464396	-0.168151
12.750000	17.465067	-0.168152
12.751666	17.464983	-0.168151
12.753334	17.464025	-0.168149
12.755000	17.463688	-0.168145
12.756667	17.463827	-0.168143
12.758333	17.462955	-0.168143
12.760000	17.462996	-0.168141
12.761667	17.463495	-0.168139
12.763333	17.462883	-0.168137
12.765000	17.461357	-0.168136
12.766667	17.461067	-0.168137
12.768333	17.460947	-0.168137
12.770000	17.460255	-0.168138
12.771666	17.459780	-0.168140
12.773334	17.460098	-0.168141
12.775000	17.459652	-0.168143
12.776666	17.459642	-0.168142
12.778334	17.459579	-0.168140
12.780000	17.459747	-0.168137
12.781667	17.457741	-0.168132
12.783333	17.458471	-0.168126
12.785000	17.458500	-0.168119
12.786667	17.457344	-0.168115
12.788333	17.457117	-0.168110
12.790000	17.457497	-0.168107
12.791667	17.455927	-0.168104
12.793333	17.455297	-0.168102
12.795000	17.455446	-0.168102
12.796666	17.454521	-0.168104
12.798334	17.455456	-0.168106
12.800000	17.455999	-0.168107
12.801666	17.454370	-0.168106
12.803334	17.454062	-0.168105
12.805000	17.453207	-0.168107
12.806667	17.453550	-0.168106
12.808333	17.452955	-0.168104
12.810000	17.453331	-0.168102
12.811667	17.451334	-0.168099
12.813333	17.453003	-0.168097
12.815000	17.452360	-0.168094
12.816667	17.452114	-0.168091
12.818333	17.451336	-0.168089
12.820000	17.450846	-0.168086
12.821666	17.450590	-0.168084
12.823334	17.450575	-0.168086
12.825000	17.449692	-0.168087
12.826666	17.449379	-0.168087
12.828334	17.449923	-0.168087
12.830000	17.448935	-0.168086
12.831667	17.448990	-0.168087
12.833333	17.448238	-0.168087
12.835000	17.447855	-0.168089
12.836667	17.448069	-0.168091
12.838333	17.446609	-0.168092
12.840000	17.446287	-0.168095
12.841667	17.445742	-0.168099
12.843333	17.446234	-0.168101
12.845000	17.445215	-0.168103
12.846666	17.445684	-0.168104
12.848334	17.445259	-0.168103
12.850000	17.445606	-0.168101
12.851666	17.445202	-0.168098
12.853334	17.444445	-0.168095
12.855000	17.444437	-0.168092
12.856667	17.444389	-0.168092
12.858333	17.442587	-0.168093
12.860000	17.443140	-0.168095
12.861667	17.442770	-0.168097
12.863333	17.441460	-0.168096
12.865000	17.442471	-0.168096
12.866667	17.441259	-0.168097
12.868333	17.441027	-0.168098
12.870000	17.440310	-0.168098
12.871666	17.441122	-0.168097
12.873334	17.440456	-0.168096
12.875000	17.439987	-0.168096
12.876666	17.439941	-0.168096
12.878334	17.439302	-0.168097
12.880000	17.439110	-0.168096
12.881667	17.438391	-0.168094
12.883333	17.438231	-0.168092
12.885000	17.438442	-0.168089
12.886667	17.437683	-0.168089
12.888333	17.438465	-0.168090
12.890000	17.437340	-0.168092
12.891667	17.437113	-0.168096
12.893333	17.437126	-0.168097
12.895000	17.436018	-0.168097
12.896666	17.436275	-0.168097
12.898334	17.435221	-0.168094
12.900000	17.435888	-0.168094
12.901666	17.435621	-0.168092
12.903334	17.434704	-0.168089
12.905000	17.433281	-0.168087
12.906667	17.434017	-0.168086
12.908333	17.433470	-0.168086
12.910000	17.433710	-0.168086
12.911667	17.432688	-0.168085
12.913333	17.433012	-0.168085
12.915000	17.432442	-0.168084
12.916667	17.432100	-0.168084
12.918333	17.431561	-0.168084
12.920000	17.431454	-0.168084
12.921666	17.431190	-0.168085
12.923334	17.431322	-0.168085
12.925000	17.430750	-0.168085
12.926666	17.429853	-0.168084
12.928334	17.430771	-0.168083
12.930000	17.429550	-0.168081
12.931667	17.429884	-0.168077
12.933333	17.429478	-0.168076
12.935000	17.428360	-0.168075
12.936667	17.427780	-0.168075
12.938333	17.427166	-0.168072
12.940000	17.426693	-0.168070
12.941667	17.426115	-0.168067
12.943333	17.426538	-0.168065
12.945000	17.426765	-0.168063
12.946666	17.425882	-0.168063
12.948334	17.425587	-0.168065
12.950000	17.424891	-0.168065
12.951666	17.424591	-0.168066
12.953334	17.424171	-0.168068
12.955000	17.424665	-0.168068
12.956667	17.424759	-0.168068
12.958333	17.423731	-0.168066
12.960000	17.423187	-0.168067
12.961667	17.422405	-0.168066
12.963333	17.422668	-0.168066
12.965000	17.421974	-0.168067
12.966667	17.422470	-0.168067
12.968333	17.421448	-0.168068
12.970000	17.419876	-0.168067
12.971666	17.420946	-0.168067
12.973334	17.419674	-0.168066
12.975000	17.419743	-0.168065
12.976666	17.419317	-0.168065
12.978334	17.419237	-0.168066
12.980000	17.417891	-0.168067
12.981667	17.419502	-0.168067
12.983333	17.417768	-0.168065
12.985000	17.416656	-0.168063
12.986667	17.417021	-0.168064
12.988333	17.417704	-0.168064
12.990000	17.416542	-0.168066
12.991667	17.416332	-0.168065
12.993333	17.416061	-0.168063
12.995000	17.415678	-0.168061
12.996666	17.414610	-0.168059
12.998334	17.415058	-0.168057
13.000000	17.414993	-0.168055
13.001666	17.414543	-0.168053
13.003334	17.414455	-0.168052
13.005000	17.413998	-0.168051
13.006667	17.412821	-0.168051
13.008333	17.413330	-0.168051
13.010000	17.413349	-0.168049
13.011667	17.411743	-0.168044
13.013333	17.412638	-0.168039
13.015000	17.412027	-0.168033
13.016667	17.411798	-0.168027
13.018333	17.411634	-0.168024
13.020000	17.409786	-0.168020
